Depth,Nodes,TimeMs,,,,
8,35657421,12521,,,,
8,70948543,24790,,,,
8,29496527,10432,,,,
8,38790258,13268,,,,
8,41105278,13970,,,,
8,39501288,14040,,,,
8,6132415,2040,,,,
8,8963695,3219,,,,
8,22014171,7641,,,,
8,18789365,6698,,,,
8,16787004,5551,,,,
8,167331434,52982,,,,
8,4052895,1337,,,,
8,4487599,1833,,,,
8,75732477,22568,,,,
8,1886565,601,,,,
8,4503410,1416,,,,
8,2049178,629,,,,
8,24336411,8768,,,,
8,33391106,12112,,,,
8,16854450,5764,,,,
8,59093782,20269,,,,
8,59590581,21272,,,,
8,89569824,31223,,,,
8,87365414,30484,,,,
8,12827541,4753,,,,
8,57803350,20565,,,,
8,77808844,28345,,,,
8,142895370,53197,,,,
8,26533621,10037,,,,
8,28661451,10268,,,,
8,53822642,19550,,,,
8,57429610,22288,,,,
8,48139078,17367,,,,
8,122278783,45765,,,,
8,14536327,5520,,,,
8,46617588,16646,,,,
8,59778855,20221,,,,
8,21207473,8963,,,,
8,9262111,4006,,,,
8,48985901,16186,,,,
8,55992659,17586,,,,
8,27264957,9233,,,,
8,168609880,54779,,,,
8,24849941,7961,,,,
8,15275246,4535,,,,
8,25210578,8016,,,,
8,8542534,2569,,,,
8,6769963,2130,,,,
8,3215320,1120,,,,
8,7264644,2425,,,,
8,19281134,6331,,,,
8,23974714,7864,,,,
8,22507057,7351,,,,
8,20035422,7152,,,,
8,48795907,16304,,,,
8,26179678,8868,,,,
8,35483418,11488,,,,
8,26103149,8692,,,,
8,10492582,3600,,,,
8,20282680,6902,,,,
8,32693341,11033,,,,
8,22528925,7462,,,,
8,8828863,3070,,,,
8,8379125,2858,,,,
8,312,1,,,,
8,6435797,2200,,,,
8,13699419,4479,,,,
8,12286063,3727,,,,
8,5111494,1690,,,,
8,20990797,6084,,,,
8,13181489,4278,,,,
8,8200674,2967,,,,
8,13252669,4126,,,,
8,10515894,3330,,,,
8,13384739,4291,,,,
8,5393412,1613,,,,
8,5496083,1822,,,,
8,3354514,946,,,,
8,6377035,2010,,,,
8,2689574,837,,,,
8,2968012,998,,,,
8,2444508,853,,,,
8,1133652,340,,,,
8,48281,16,,,,
8,40,1,,,,
8,1980948,691,,,,
8,2901223,941,,,,
8,5244950,1705,,,,
8,583644,183,,,,
8,229586,84,,,,
8,549796,165,,,,
8,433796,131,,,,
8,487019,148,,,,
8,683194,208,,,,
8,262224,77,,,,
8,786462,222,,,,
8,680295,212,,,,
8,812631,252,,,,
8,2495099,825,,,,
8,1172224,376,,,,
8,797077,239,,,,
8,316211,103,,,,
8,372201,107,,,,
8,313915,89,,,,
8,653583,212,,,,
8,1028155,307,,,,
8,1827259,579,,,,
8,998652,323,,,,
8,7067643,2186,,,,
8,2970278,931,,,,
8,1974394,623,,,,
8,4286094,1457,,,,
8,3427377,1442,,,,
8,3328725,1242,,,,
8,1051038,360,,,,
8,1523861,507,,,,
8,3376538,1221,,,,
8,5067097,1882,,,,
8,8897016,3246,,,,
8,272,1,,,,
8,3118694,1151,,,,
8,1601197,625,,,,
8,356239,107,,,,
8,933612,257,,,,
8,435136,131,,,,
8,416477,124,,,,
8,221411,58,,,,
8,669899,173,,,,
8,597188,143,,,,
8,219727,61,,,,
8,345013,102,,,,
8,159775,47,,,,
8,115580,34,,,,
8,202317,59,,,,
8,314982,86,,,,
8,287490,72,,,,
8,680468,181,,,,
8,280235,68,,,,
8,367654,95,,,,
8,247839,85,,,,
8,58414,16,,,,
8,143974,32,,,,
8,528735,156,,,,
8,365752,130,,,,
8,342672,99,,,,
8,207017,54,,,,
8,127071,44,,,,
8,287370,68,,,,
8,249126,57,,,,
8,86495,26,,,,
8,264271,67,,,,
8,609067,187,,,,
8,1355878,328,,,,
8,207976,60,,,,
8,166771,53,,,,
8,196379,50,,,,
8,48211,16,,,,
8,870,1,,,,
8,289950,80,,,,
8,170542,47,,,,
8,194645,39,,,,
8,246056,45,,,,
8,60143,12,,,,
8,118885,19,,,,
8,39800,7,,,,
8,32,1,,,,
8,128580,30,,,,
8,116242,19,,,,
8,88396,18,,,,
8,141779,29,,,,
8,189915,31,,,,
8,158715,27,,,,
8,44501,11,,,,
8,25715,4,,,,
8,7936,2,,,,
8,13804,2,,,,
8,10502,2,,,,
8,7120,1,,,,
8,32,1,,,,
8,3347,1,,,,
8,11396,3,,,,
8,70901,22,,,,
8,19926,5,,,,
8,8008,2,,,,
8,86133,22,,,,
8,106708,19,,,,
8,65482,16,,,,
8,43092,12,,,,
8,27892,7,,,,
8,88939,19,,,,
8,51937,8,,,,
8,9906,3,,,,
8,27948,6,,,,
8,14090,3,,,,
8,8155,1,,,,
8,59486,11,,,,
8,85036,14,,,,
8,29028,6,,,,
8,44949,9,,,,
8,62537,11,,,,
8,41909,9,,,,
8,26024,5,,,,
8,48,1,,,,
8,25082,5,,,,
8,46080,9,,,,
8,56226,16,,,,
8,42989,9,,,,
8,99643,21,,,,
8,46244,9,,,,
8,66893,12,,,,
8,21278619,7135,,,,
8,35417668,11508,,,,
8,21031873,7101,,,,
8,35568881,11990,,,,
8,72423450,24848,,,,
8,11875472,3974,,,,
8,10428248,3600,,,,
8,7639136,2749,,,,
8,12515667,4463,,,,
8,13029245,4736,,,,
8,8727862,3296,,,,
8,8680034,3181,,,,
8,3603801,1361,,,,
8,34063795,12449,,,,
8,1476673,598,,,,
8,392,1,,,,
8,2079968,783,,,,
8,2857735,1174,,,,
8,2048281,832,,,,
8,376,1,,,,
8,2747224,896,,,,
8,11208060,3410,,,,
8,3392605,1128,,,,
8,40814285,13275,,,,
8,9499964,2960,,,,
8,6109379,1970,,,,
8,869408,299,,,,
8,7709701,2450,,,,
8,3753682,1250,,,,
8,607871,197,,,,
8,1248323,353,,,,
8,1028466,323,,,,
8,582377,185,,,,
8,752958,227,,,,
8,308919,96,,,,
8,304557,81,,,,
8,570426,149,,,,
8,1447125,367,,,,
8,292238,82,,,,
8,86540,30,,,,
8,113821,31,,,,
8,223381,60,,,,
8,132876,31,,,,
8,290838,78,,,,
8,75121,25,,,,
8,63443,16,,,,
8,97711,25,,,,
8,166784,42,,,,
8,199914,54,,,,
8,135355,35,,,,
8,121265,29,,,,
8,62056,17,,,,
8,87269,25,,,,
8,125655,31,,,,
8,112,1,,,,
8,53436,15,,,,
8,121518,35,,,,
8,42404,14,,,,
8,65832,19,,,,
