Depth,Nodes,TimeMs,HistoryHitRate,,,,,
8,2428125,744,0.64,,,,,
8,3394081,942,0.52,,,,,
8,1614680,515,0.45,,,,,
8,1210336,390,0.65,,,,,
8,1663304,557,0.83,,,,,
8,597805,191,0.74,,,,,
8,389682,97,0.83,,,,,
8,342068,94,0.98,,,,,
8,362477,90,1.25,,,,,
8,188411,40,1.95,,,,,
8,108555,34,2.26,,,,,
8,178323,37,1.93,,,,,
8,136,1,0,,,,,
8,128,1,0,,,,,
8,20591759,5480,0.16,,,,,
8,5135431,1489,0.18,,,,,
8,10500719,3024,0.26,,,,,
8,12206360,2957,0.14,,,,,
8,12302610,2956,0.07,,,,,
8,11332987,2742,0.07,,,,,
8,8893480,2320,0.1,,,,,
8,6230562,1830,0.1,,,,,
8,12394957,3494,0.1,,,,,
8,7319258,2064,0.17,,,,,
8,29272878,8356,0.23,,,,,
8,31872449,9016,0.3,,,,,
8,20870483,5949,0.28,,,,,
8,3328338,1043,0.08,,,,,
8,3073110,1017,0.45,,,,,
8,15266275,4664,0.52,,,,,
8,4046933,1258,0.33,,,,,
8,3933245,1329,0.27,,,,,
8,2024573,550,0.66,,,,,
8,2078725,556,0.94,,,,,
8,1422772,354,1.03,,,,,
8,1349605,350,0.81,,,,,
8,1640599,420,0.88,,,,,
8,2095540,541,0.71,,,,,
8,1441116,380,0.74,,,,,
8,702529,178,0.54,,,,,
8,1025067,274,0.3,,,,,
8,608567,169,0.32,,,,,
8,467739,121,0.52,,,,,
8,762548,206,0.84,,,,,
8,443251,107,0.93,,,,,
8,283545,69,1.12,,,,,
8,647192,181,0.86,,,,,
8,32,1,0,,,,,
8,200,1,0,,,,,
8,4273718,1613,0.16,,,,,
8,2709770,817,0.08,,,,,
8,1938655,584,0.11,,,,,
8,4609776,1607,0.25,,,,,
8,4811658,1640,0.3,,,,,
8,4323665,1327,0.2,,,,,
8,6744949,1965,0.29,,,,,
8,14183575,4263,0.25,,,,,
8,30195480,8553,0.14,,,,,
8,16030349,4907,0.24,,,,,
8,10488143,3374,0.34,,,,,
8,20677832,6491,0.31,,,,,
8,20417891,6319,0.26,,,,,
8,10249720,3120,0.12,,,,,
8,26402170,7645,0.26,,,,,
8,7520740,2267,0.15,,,,,
8,35407072,10747,0.27,,,,,
8,38619864,10998,0.27,,,,,
8,49321691,14132,0.26,,,,,
8,38005748,10966,0.2,,,,,
8,41619321,11892,0.2,,,,,
8,18834310,5586,0.27,,,,,
8,17678661,5852,0.39,,,,,
8,5962075,2044,0.2,,,,,
8,3609517,1059,0.31,,,,,
8,10083194,3226,0.3,,,,,
8,16432508,5244,0.36,,,,,
8,11077916,3601,0.32,,,,,
8,21752812,6627,0.32,,,,,
8,320,1,0,,,,,
8,384,1,0,,,,,
8,3612048,1044,0.27,,,,,
8,4854462,1331,0.19,,,,,
8,3694774,1059,0.25,,,,,
8,3860841,1175,0.26,,,,,
8,5210710,1466,0.25,,,,,
8,1405364,475,0.17,,,,,
8,1674141,555,0.24,,,,,
8,4355699,1321,0.25,,,,,
8,11175404,3277,0.26,,,,,
8,5791925,1880,0.23,,,,,
8,3846883,1145,0.2,,,,,
8,5310149,1523,0.27,,,,,
8,7198860,2241,0.32,,,,,
8,11541122,3461,0.36,,,,,
8,9037348,2647,0.46,,,,,
8,3399487,1023,0.49,,,,,
8,2655398,793,0.44,,,,,
8,1858328,543,0.65,,,,,
8,1182670,335,1.5,,,,,
8,3104923,922,0.82,,,,,
8,2144934,641,0.91,,,,,
8,4503561,1430,0.71,,,,,
8,5672821,1749,0.5,,,,,
8,2389615,689,0.47,,,,,
8,3262088,941,0.57,,,,,
8,6222675,1778,0.6,,,,,
8,3382816,991,0.53,,,,,
8,304,1,0,,,,,
8,280,1,0,,,,,
8,11137479,3862,0.11,,,,,
8,9588524,3228,0.05,,,,,
8,5063324,1520,0.04,,,,,
8,10584100,3080,0.04,,,,,
8,11610054,3481,0.04,,,,,
8,14328591,4464,0.04,,,,,
8,8934784,2546,0.03,,,,,
8,9539081,2919,0.03,,,,,
8,13926808,4076,0.08,,,,,
8,22224326,6903,0.16,,,,,
8,11114138,3681,0.15,,,,,
8,15813107,5222,0.17,,,,,
8,59760607,20254,0.21,,,,,
8,40169288,13084,0.17,,,,,
8,22073394,6975,0.26,,,,,
8,7384217,2127,0.16,,,,,
8,9871975,2697,0.2,,,,,
8,10269259,2917,0.31,,,,,
8,4031185,1154,0.13,,,,,
8,5828155,1660,0.29,,,,,
8,3986207,1087,0.34,,,,,
8,3152277,901,0.38,,,,,
8,4919441,1451,0.54,,,,,
8,3897934,1150,0.35,,,,,
8,4035983,1207,0.2,,,,,
8,4436103,1528,0.39,,,,,
8,1321384,378,0.26,,,,,
8,6912966,2194,0.44,,,,,
8,1897655,550,0.2,,,,,
8,1827812,588,0.4,,,,,
8,2235494,705,0.75,,,,,
8,2219634,683,0.69,,,,,
8,5470384,1633,0.79,,,,,
8,4436139,1322,0.84,,,,,
8,2813743,854,0.81,,,,,
8,2948174,853,0.72,,,,,
8,2061087,647,0.55,,,,,
8,2839902,912,0.54,,,,,
8,1453798,397,0.71,,,,,
8,3652769,1046,0.72,,,,,
8,1237306,332,0.45,,,,,
8,957615,270,0.45,,,,,
8,992162,301,0.61,,,,,
8,230106,66,0.44,,,,,
8,208985,48,1.12,,,,,
8,259717,65,1.33,,,,,
8,172468,40,0.99,,,,,
8,108487,33,1.4,,,,,
8,90028,19,1.81,,,,,
8,64168,18,1.18,,,,,
8,62714,15,1.4,,,,,
8,81643,19,1.96,,,,,
8,109581,25,1.65,,,,,
8,63722,15,1.3,,,,,
8,140576,40,1.72,,,,,
8,185949,44,1.62,,,,,
8,194283,58,1.48,,,,,
8,567163,133,1.8,,,,,
8,103870,37,1.86,,,,,
8,170326,49,1.42,,,,,
8,158932,49,1.12,,,,,
8,55806,18,1.08,,,,,
8,69340,23,0.71,,,,,
8,23822,7,0.62,,,,,
8,136,1,0,,,,,
8,128,1,0,,,,,
8,8652950,2604,0.19,,,,,
8,9820210,2833,0.15,,,,,
8,10379406,3191,0.12,,,,,
8,11860046,3894,0.13,,,,,
8,14908075,4715,0.09,,,,,
8,12870720,3916,0.09,,,,,
8,16597872,5035,0.07,,,,,
8,12297351,3397,0.07,,,,,
8,23516120,6302,0.11,,,,,
8,15362426,4252,0.15,,,,,
8,5941118,1589,0.09,,,,,
8,8929422,2412,0.14,,,,,
8,12837617,3565,0.15,,,,,
8,8511518,2461,0.13,,,,,
8,13403451,3806,0.14,,,,,
8,5861859,1622,0.13,,,,,
8,16354139,4812,0.21,,,,,
8,21879520,6461,0.17,,,,,
8,14792592,4672,0.13,,,,,
8,12634011,3972,0.14,,,,,
8,8682880,2669,0.11,,,,,
8,11886070,3733,0.13,,,,,
8,4098745,1332,0.12,,,,,
8,2048036,627,0.19,,,,,
8,2560835,803,0.18,,,,,
8,1870896,685,0.22,,,,,
8,175901,49,0.32,,,,,
8,1619435,453,0.41,,,,,
8,1267193,360,0.51,,,,,
8,366474,127,0.94,,,,,
8,1037839,330,0.76,,,,,
8,896834,305,0.88,,,,,
8,1092755,337,0.57,,,,,
8,1607559,493,0.62,,,,,
8,601279,177,0.73,,,,,
8,325821,109,0.8,,,,,
8,183368,60,1.11,,,,,
8,271696,81,1.26,,,,,
8,120055,55,1.23,,,,,
8,73486,27,1.08,,,,,
8,107892,31,0.79,,,,,
8,184,1,0,,,,,
8,184,1,0,,,,,
8,9336702,2389,0.04,,,,,
8,10673669,2853,0.09,,,,,
8,8660538,2310,0.05,,,,,
8,10832383,2841,0.04,,,,,
8,9898845,2529,0.04,,,,,
8,4782476,1298,0.04,,,,,
8,4358140,1290,0.09,,,,,
8,2624789,726,0.07,,,,,
8,2181989,645,0.23,,,,,
8,3286822,1186,0.32,,,,,
8,6586076,2298,0.35,,,,,
8,8061708,2875,0.3,,,,,
8,7570156,2591,0.41,,,,,
8,5832993,2072,0.38,,,,,
8,12514821,4111,0.31,,,,,
8,5347598,1982,0.24,,,,,
8,3822161,1435,0.53,,,,,
8,6384973,2289,0.52,,,,,
8,6708216,2258,0.58,,,,,
8,1866677,668,0.57,,,,,
8,2493137,848,0.56,,,,,
8,999087,319,0.59,,,,,
8,4753606,1563,0.45,,,,,
8,2291849,764,0.6,,,,,
8,983481,347,0.59,,,,,
8,3639332,1073,0.63,,,,,
8,1625673,658,1.15,,,,,
8,6775517,2065,0.43,,,,,
8,2522065,767,0.38,,,,,
8,2766396,817,0.38,,,,,
8,2016991,643,0.41,,,,,
8,856375,245,0.32,,,,,
8,16,1,0,,,,,
8,16,1,0,,,,,
8,16,1,0,,,,,
8,11068103,3214,0.07,,,,,
8,13279375,3924,0.13,,,,,
8,9708033,2821,0.13,,,,,
8,8113940,2323,0.18,,,,,
8,21288902,6230,0.14,,,,,
8,7860050,2389,0.09,,,,,
8,13686860,4302,0.16,,,,,
8,5576344,1627,0.18,,,,,
8,13035309,3890,0.18,,,,,
8,12392626,3838,0.12,,,,,
8,14651437,4527,0.11,,,,,
8,7091306,2043,0.1,,,,,
8,9521160,2805,0.1,,,,,
8,12690658,3813,0.09,,,,,
8,14946897,4540,0.11,,,,,
8,8664976,2661,0.06,,,,,
8,5439727,1456,0.15,,,,,
8,8281649,2483,0.16,,,,,
8,13447739,4235,0.19,,,,,
8,16893022,5365,0.28,,,,,
8,1619084,475,0.16,,,,,
8,6714100,1948,0.22,,,,,
8,5890081,1681,0.4,,,,,
8,6810129,1930,0.28,,,,,
8,13996901,4009,0.65,,,,,
8,11634582,3247,0.48,,,,,
8,2497763,684,0.19,,,,,
8,3426558,978,0.41,,,,,
8,1244978,363,0.19,,,,,
8,1290358,435,0.23,,,,,
8,771027,238,0.5,,,,,
8,1155436,350,0.54,,,,,
8,1843069,485,1,,,,,
8,1872633,516,1.35,,,,,
8,2004708,558,1.64,,,,,
8,777716,264,0.77,,,,,
8,1712244,518,1.03,,,,,
8,476518,156,0.97,,,,,
8,187356,45,1.19,,,,,
8,205060,53,1.16,,,,,
8,143067,39,1.16,,,,,
8,203688,59,1.19,,,,,
8,13325,3,1.05,,,,,
