Depth,Nodes,TimeMs,HistoryHitRate
8,1037854,496,0.23
8,1628859,738,0.22
8,708012,282,0.13
8,541208,236,0.14
8,1006609,416,0.23
8,1192578,520,0.32
8,1029313,452,0.42
8,654092,326,0.52
8,931620,488,0.70
8,727318,395,0.64
8,143201,80,0.47
8,384244,227,1.12
8,24,1,0.00
8,176,1,0.00
8,7036004,3819,0.06
8,6657277,3660,0.09
8,18607663,10388,0.21
8,16463631,8209,0.33
8,22359453,11832,0.27
8,16723403,9654,0.14
8,25505913,15902,0.15
8,6849341,4128,0.07
8,2153879,1260,0.10
8,1541317,854,0.14
8,6638854,4019,0.34
8,16400398,9993,0.37
8,22792433,14122,0.37
8,4664474,2926,0.16
8,6175160,3848,0.27
8,5856959,3509,0.19
8,11018473,6862,0.48
8,14966280,9311,0.37
8,4407976,2780,0.50
8,20635709,13317,0.66
8,13013579,8275,0.51
8,13104080,8170,0.61
8,12101526,6612,0.63
8,10518795,5865,0.34
8,13195898,7050,0.49
8,3861711,2467,0.28
8,1743544,948,0.31
8,5273891,3275,0.84
8,2689403,1538,1.10
8,2374266,1276,0.79
8,5887020,3325,1.09
8,4660016,2601,0.97
8,4308877,2368,0.62
8,5625927,3084,0.62
8,5055895,2867,0.65
8,6655541,3491,0.56
8,2079227,1169,0.54
8,1141433,674,0.49
8,3243338,1825,0.43
8,1571443,1023,0.44
8,1038790,665,0.50
8,2232097,1537,0.48
8,1943626,1147,0.48
8,485555,259,0.77
8,1393353,608,1.23
8,1018873,483,1.45
8,816685,408,1.12
8,369297,181,0.91
8,684614,313,0.83
8,413087,199,1.01
8,221181,106,1.22
8,1008128,462,1.64
8,1386854,599,1.59
8,953516,443,2.71
8,1052689,450,2.28
8,1601416,711,2.63
8,478081,234,2.14
8,547932,257,1.38
8,83730,41,1.57
8,356099,162,1.51
8,402158,170,1.29
8,589311,293,0.94
8,658268,279,1.17
8,1159904,562,1.52
8,3084273,1552,1.03
8,14930278,7897,0.09
8,13339186,6587,0.05
8,11887555,6049,0.08
8,6433214,3181,0.03
8,19864693,10553,0.05
8,10938727,5694,0.04
8,6501584,3477,0.05
8,6373161,3535,0.02
8,4222306,2387,0.05
8,5847359,3534,0.06
8,1331033,753,0.09
8,1401392,708,0.04
8,1098621,569,0.08
8,2103147,1061,0.07
8,1989130,1019,0.19
8,1472049,790,0.24
8,2592146,1377,0.25
8,6605542,3301,0.44
8,2167154,1148,0.24
8,2877856,1394,0.39
8,3970352,1955,0.45
8,2968736,1406,0.36
8,3009552,1553,0.38
8,1755378,917,0.44
8,3966655,2464,0.70
8,2002205,1059,0.59
8,3602400,1875,0.56
8,4671702,2322,0.57
8,4794151,2366,0.51
8,6301528,3231,0.79
8,9660975,4521,0.44
8,4966080,2521,0.58
8,6178212,3147,0.51
8,758719,328,0.34
8,272,1,0.00
8,48,1,0.00
8,2691994,1417,0.05
8,7877361,4267,0.12
8,6839829,3493,0.06
8,11231436,5755,0.10
8,5906466,3035,0.09
8,14209455,7937,0.15
8,24681705,14567,0.15
8,25561480,13049,0.05
8,47113157,27369,0.08
8,16936799,10198,0.07
8,14199939,8205,0.03
8,4428822,2071,0.04
8,6720499,3488,0.16
8,15451023,8940,0.25
8,17662466,9971,0.30
8,8307863,4681,0.30
8,18019119,10386,0.24
8,15336948,8780,0.15
8,15724572,8427,0.22
8,9805752,5518,0.38
8,5409961,2806,0.21
8,4673130,3459,0.26
8,2464474,1417,0.09
8,1845943,1049,0.36
8,2686138,1821,0.43
8,2084764,1265,0.45
8,1275025,830,0.64
8,1585101,853,0.73
8,2856395,1540,0.73
8,1514172,691,0.95
8,1205138,558,0.86
8,2185721,833,0.61
8,653468,270,0.38
8,594861,236,0.50
8,16,1,0.00
8,40,1,0.00
8,9011202,2850,0.13
8,17425374,7024,0.11
8,15292466,4215,0.11
8,10033444,2990,0.08
8,8849423,2414,0.07
8,14181764,4199,0.12
8,13942133,4427,0.12
8,23287561,6845,0.12
8,7745370,2151,0.06
8,13849735,4256,0.14
8,5200734,1547,0.14
8,2853451,859,0.15
8,2899271,764,0.25
8,5369122,1483,0.26
8,10071265,2627,0.44
8,4724920,1351,0.28
8,3093361,947,0.21
8,1251473,347,0.21
8,777825,188,0.55
8,1685589,423,0.45
8,922792,240,0.62
8,621674,159,1.24
8,234177,56,0.87
8,190715,43,1.39
8,665593,152,1.55
8,539890,117,1.56
8,402567,90,1.97
8,286238,68,1.93
8,348173,83,1.89
8,366750,90,1.72
8,190421,46,1.13
8,203778,55,1.27
8,435500,107,1.39
8,290923,71,1.64
8,285242,83,1.72
8,520467,127,1.35
8,127303,44,1.43
8,358782,93,1.41
8,297949,76,1.06
8,183696,55,1.54
8,298720,69,1.37
8,296252,69,1.44
8,227950,59,2.19
8,592849,135,2.22
8,417670,101,1.25
8,370884,89,0.96
8,96626,18,1.22
8,407899,78,1.22
8,195269,42,1.81
8,235821,46,1.56
8,184022,39,1.62
8,4220749,934,0.10
8,2263109,645,0.19
8,4300970,1245,0.10
8,1944753,605,0.18
8,7787417,2265,0.23
8,13849629,3870,0.24
8,11156986,3261,0.30
8,9761935,2771,0.24
8,4264779,1327,0.19
8,24993334,7009,0.22
8,8344028,2371,0.29
8,14855274,4422,0.25
8,3991217,1372,0.21
8,7683620,2661,0.23
8,16917766,5881,0.22
8,15426063,5845,0.30
8,21571257,7758,0.32
8,10933540,3698,0.29
8,6088726,1907,0.20
8,1082053,315,0.26
8,2361299,598,0.85
8,4386758,1167,0.76
8,3463496,912,0.75
8,3515738,942,0.80
8,3921189,1058,0.64
8,8338287,2341,0.75
8,5351164,1430,0.66
8,3675518,999,0.68
8,4319084,1201,0.58
8,6413363,1800,0.71
8,3757145,1035,0.70
8,6569550,1890,0.66
8,1244694,362,0.21
8,1262068,377,0.41
8,1670093,475,0.58
8,2739506,763,0.59
8,382652,113,0.38
8,1194595,350,0.55
8,878563,238,0.61
8,394000,99,0.62
8,1084121,248,0.82
8,1231831,244,1.01
8,1047027,239,1.28
8,832842,181,1.03
8,1389978,308,1.16
8,2485762,521,1.53
8,2027981,461,1.94
8,7437340,1539,1.66
8,3016442,615,1.57
8,9969628,2991,0.15
8,17469341,5060,0.10
8,5915442,1694,0.12
8,3182518,847,0.05
8,4577220,1225,0.11
8,9440221,2663,0.10
8,8621787,2318,0.10
8,21408863,6020,0.10
8,49822951,13775,0.14
8,30926709,9548,0.16
8,25874759,7458,0.15
8,27602036,7825,0.14
8,39360212,10965,0.15
8,7558476,2221,0.08
8,25034039,7514,0.19
8,13877602,4265,0.12
8,4008225,1306,0.14
8,3947637,1280,0.20
8,4701748,1413,0.18
8,10828750,2923,0.21
8,6262509,1666,0.11
8,7953796,2153,0.15
8,3375293,874,0.15
8,3019808,769,0.12
8,1117443,322,0.11
8,1209055,288,0.31
8,1139935,271,0.61
